"tract","Name","Individual_Income_Excluding_Spouse_rP_gP_p25"
24005400800,"Catonsville, MD",27974
24027602600,"Ellicott City, MD",27932
24005401504,"Catonsville, MD",27833
24005492101,"Parkville, MD",27587
24005441102,"Rosedale, MD",27586
24005430800,"Halethorpe, MD",27557
24005490500,"Towson, MD",27532
24003750400,"Linthicum Heights, MD",27505
24005490900,"Towson, MD",27437
24027602800,"Ellicott City, MD",27405
24027601204,"Elkridge, MD",27166
24005401000,"Catonsville, MD",27151
24027602900,"Normandy, Ellicott City, MD",27095
24005403300,"Lochearn, Pikesville, MD",27052
24005491600,"Parkville, MD",26983
24005402403,"Gwynn Oak, Baltimore, MD",26963
24005411407,"Parkville, MD",26943
24005440900,"Rosedale, MD",26937
24005402407,"Windsor Mill, Milford Mill, MD",26908
24005452400,"Dundalk, MD",26581
24510270804,"Lake Walker, Baltimore, MD",26546
24005401505,"Catonsville, MD",26522
24005402506,"Randallstown, MD",26498
24005400702,"Baltimore, MD",26442
24005420702,"Dundalk, MD",26354
24005401301,"Woodlawn, MD",26235
24005492200,"Parkville, MD",26211
24510270200,"Lauraville, Baltimore, MD",26119
24005411408,"Nottingham, MD",26063
24510280403,"Westgate, Baltimore, MD",26057
24510272004,"Cheswolde, Baltimore, MD",26011
24005451701,"Middle River, MD",25995
24005491202,"Towson, MD",25985
24005401507,"Windsor Mill, Baltimore, MD",25947
24005430400,"Halethorpe, MD",25854
24005430900,"Baltimore, MD",25790
24027606901,"Savage, Jessup, MD",25779
24005451000,"Essex, MD",25766
24005420100,"Dundalk, MD",25740
24005491500,"Parkville, MD",25664
24005491300,"Baltimore, MD",25601
24510270502,"North Harford Road, Baltimore, MD",25595
24005411404,"Parkville, MD",25482
24005420701,"Dundalk, MD",25466
24005450900,"Essex, MD",25448
24005403100,"Gwynn Oak, Pikesville, MD",25445
24005400200,"Catonsville, MD",25435
24005402406,"Windsor Mill, Milford Mill, MD",25380
24003750900,"Glen Burnie, MD",25278
24510150702,"Walbrook, Baltimore, MD",25273
24005401503,"Catonsville, MD",25227
24005400500,"Catonsville, MD",25221
24510270402,"Glenham-Belford, Baltimore, MD",25208
24027606707,"Columbia, MD",25204
24003740201,"South Gate, Glen Burnie, MD",25081
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",24905
24510271101,"Radnor - Winston, Baltimore, MD",24873
24003751400,"Severn, MD",24795
24510280401,"Baltimore, MD",24786
24005440300,"Nottingham, MD",24562
24003750300,"Linthicum Heights, MD",24533
24027601201,"Elkridge, MD",24527
24005450100,"Rosedale, MD",24482
24510220100,"Baltimore, MD",24436
24510270802,"Ramblewood, Baltimore, MD",24420
24005451802,"Middle River, MD",24350
24005402306,"Windsor Mill, Baltimore, MD",24342
24005402307,"Pikesville, MD",24257
24003740102,"Hanover, MD",24234
24005492001,"Parkville, MD",24219
24005491401,"Parkville, MD",24207
24005400600,"Catonsville, MD",24190
24510270903,"Hillen, Baltimore, MD",24109
24510270803,"Loch Raven, Baltimore, MD",24057
24005440100,"Baltimore, MD",24049
24005401101,"Woodlawn, MD",24016
24005440400,"Baltimore, MD",24004
24510250103,"Violetville, Baltimore, MD",23963
24005491402,"Parkville, MD",23882
24005420200,"Dundalk, MD",23871
24510270501,"Woodring, Baltimore, MD",23867
24005451100,"Essex, MD",23830
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",23828
24510010400,"Canton, Baltimore, MD",23789
24005420800,"Dundalk, MD",23782
24005451200,"Middle River, MD",23758
24005402602,"Randallstown, MD",23744
24510270901,"New Northwood, Baltimore, MD",23714
24005451300,"Middle River, MD",23649
24003750804,"Glen Burnie, MD",23609
24005440702,"Rosedale, MD",23583
24005452100,"Sparrows Point, MD",23574
24005451900,"Edgemere, MD",23556
24005402303,"Windsor Mill, Baltimore, MD",23529
24510280200,"Gwynn Oak, Baltimore, MD",23396
24510040100,"Downtown, Baltimore, MD",23394
24005403201,"Gwynn Oak, Lochearn, MD",23347
24510130806,"Woodberry, Baltimore, MD",23339
24510270801,"Idlewood, Baltimore, MD",23315
24510260302,"Belair - Edison, Baltimore, MD",23292
24510151100,"East Arlington, Baltimore, MD",23291
24005402302,"Windsor Mill, Milford Mill, MD",23279
24005451702,"Middle River, MD",23272
24027601107,"Waterloo, Elkridge, MD",23271
24510120100,"Tuscany - Canterbury, Baltimore, MD",23185
24003750203,"Baltimore, MD",23182
24005451803,"Middle River, MD",23175
24510170100,"Downtown, Baltimore, MD",23152
24005401400,"Catonsville, MD",23128
24005411302,"White Marsh, MD",23126
24510271900,"Glen, Baltimore, MD",23123
24510272006,"Glen, Baltimore, MD",23113
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",23101
24027601203,"Elkridge, MD",23077
24005402604,"Randallstown, MD",23069
24005420401,"Dundalk, MD",23025
24005420900,"Dundalk, MD",23004
24003750801,"Glen Burnie, MD",23000
24005430700,"Halethorpe, MD",22991
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",22973
24510140100,"Bolton Hill, Baltimore, MD",22940
24510270401,"Glenham-Belford, Baltimore, MD",22875
24510270902,"Perring Loch, Baltimore, MD",22872
24003730204,"Glen Burnie, MD",22867
24510250101,"Beechfield, Baltimore, MD",22850
24003731309,"Riviera Beach, MD",22817
24510280301,"Gwynn Oak, Baltimore, MD",22745
24510200800,"Irvington, Baltimore, MD",22726
24510270805,"Mid-Govans, Baltimore, MD",22673
24510260501,"Joseph Lee, Baltimore, MD",22648
24510272007,"Fallstaff, Baltimore, MD",22638
24005402304,"Gwynn Oak, Baltimore, MD",22539
24003730401,"Glen Burnie, MD",22516
24510150800,"Garwyn Oaks, Baltimore, MD",22488
24005420600,"Baltimore, MD",22486
24003750803,"Glen Burnie, MD",22482
24005403702,"Pikesville, MD",22468
24510260700,"Fifteenth Street, Baltimore, MD",22456
24003750202,"Brooklyn Park, MD",22447
24005402503,"Randallstown, MD",22399
24005491201,"Towson, MD",22348
24510150500,"Burleith-Leighton, Baltimore, MD",22327
24510200100,"Lexington, Baltimore, MD",22315
24510270301,"Lauraville, Baltimore, MD",22308
24005450504,"Essex, MD",22281
24510130700,"Hampden, Baltimore, MD",22258
24510010100,"Canton, Baltimore, MD",22253
24003751102,"Glen Burnie, MD",22142
24510280404,"Irvington, Baltimore, MD",22129
24005492300,"Essex, MD",22048
24005452500,"Dundalk, MD",21952
24005402404,"Gwynn Oak, Lochearn, MD",21948
24510150701,"Hanlon Longwood, Baltimore, MD",21943
24005450400,"Essex, MD",21929
24005420500,"Baltimore, MD",21912
24003751000,"Glen Burnie, MD",21887
24005451500,"Middle River, MD",21858
24510250102,"Yale Heights, Baltimore, MD",21851
24003731308,"Pasadena, MD",21850
24510260101,"Cedmont, Baltimore, MD",21838
24510270102,"Waltherson, Baltimore, MD",21833
24510200701,"Allendale, Baltimore, MD",21798
24510010500,"Upper Fells Point, Baltimore, MD",21783
24005441000,"Baltimore, MD",21776
24005402405,"Gwynn Oak, Baltimore, MD",21765
24005450300,"Essex, MD",21760
24510120400,"Barclay, Baltimore, MD",21695
24003730300,"Glen Burnie, MD",21687
24510280302,"West Forest Park, Baltimore, MD",21672
24005401302,"Gwynn Oak, Baltimore, MD",21668
24510280402,"Rognel Heights, Baltimore, MD",21660
24005421000,"Dundalk, MD",21651
24510150900,"Windsor Hills, Baltimore, MD",21639
24510180200,"Poppleton, Baltimore, MD",21623
24005401200,"Woodlawn, MD",21618
24003730203,"Glen Burnie, MD",21594
24005452300,"Baltimore, MD",21585
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",21569
24005451401,"Middle River, MD",21515
24005420302,"Dundalk, MD",21497
24003751103,"Glen Burnie, MD",21465
24005450503,"Essex, MD",21464
24003731306,"Pasadena, MD",21410
24510090400,"Better Waverly, Baltimore, MD",21395
24005420402,"Dundalk, MD",21356
24005421300,"Dundalk, MD",21323
24510270101,"Arcadia, Baltimore, MD",21308
24510260202,"Parkside, Baltimore, MD",21290
24005402305,"Lochearn, Pikesville, MD",21280
24510160600,"Mosher, Baltimore, MD",21247
24510260403,"Cedonia, Baltimore, MD",21242
24005451402,"Middle River, MD",21229
24003750101,"Brooklyn Park, MD",21202
24510271700,"Central Park Heights, Baltimore, MD",21178
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",21111
24510260203,"Frankford, Baltimore, MD",21104
24510160801,"Edmondson, Baltimore, MD",21067
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",21016
24005440701,"Rosedale, MD",20977
24005420301,"Dundalk, MD",20923
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",20922
24510080101,"Belair - Edison, Baltimore, MD",20903
24510120201,"Baltimore, MD",20877
24510151000,"Dorchester, Baltimore, MD",20868
24005421102,"Dundalk, MD",20815
24510260201,"Frankford, Baltimore, MD",20806
24510280102,"Gwynn Oak, Baltimore, MD",20772
24003750102,"Baltimore, MD",20763
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",20752
24510272003,"Baltimore, MD",20746
24510272005,"Cross Country, Baltimore, MD",20745
24510271002,"Winston - Govans, Baltimore, MD",20712
24510130400,"Woodbrook, Baltimore, MD",20711
24005450800,"Essex, MD",20671
24003750201,"Brooklyn, Baltimore, MD",20655
24510080500,"Darley Park, Baltimore, MD",20652
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",20614
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",20574
24510070100,"Baltimore, MD",20539
24510280101,"Reisterstown Station, Baltimore, MD",20538
24005450501,"Essex, MD",20488
24510151200,"Park Circle, Baltimore, MD",20477
24510020100,"Upper Fells Point, Baltimore, MD",20475
24005401102,"Gwynn Oak, Woodlawn, MD",20463
24510250207,"Cherry Hill, Baltimore, MD",20435
24510271801,"Arlington, Baltimore, MD",20369
24510260402,"Frankford, Baltimore, MD",20339
24005450200,"Essex, MD",20327
24005421101,"Baltimore, MD",20278
24510271600,"Edgecomb, Baltimore, MD",20275
24510250303,"Morrell Park, Baltimore, MD",20261
24510261100,"Canton, Baltimore, MD",20246
24005451600,"Middle River, MD",20243
24510010200,"Patterson Park, Baltimore, MD",20239
24510020200,"Upper Fells Point, Baltimore, MD",20224
24510160300,"Sandtown-Winchester, Baltimore, MD",20215
24510260800,"Baltimore Highlands, Baltimore, MD",20194
24510260102,"Frankford, Baltimore, MD",20153
24510160802,"Edmondson, Baltimore, MD",20152
24510030200,"Little Italy, Baltimore, MD",20140
24510160400,"Midtown Edmondson, Baltimore, MD",19937
24510090500,"Better Waverly, Baltimore, MD",19891
24510080600,"Broadway East, Baltimore, MD",19827
24510271102,"Mid-Charles, Baltimore, MD",19816
24510130200,"Reservoir Hill, Baltimore, MD",19786
24510240100,"Locust Point, Baltimore, MD",19782
24510060200,"Baltimore, MD",19758
24510010300,"Canton, Baltimore, MD",19740
24510260605,"Medford - Broening, Baltimore, MD",19639
24510151300,"Central Park Heights, Baltimore, MD",19636
24510130803,"Medfield, Baltimore, MD",19596
24510080302,"Berea, Baltimore, MD",19587
24510120300,"Harwood, Baltimore, MD",19583
24003751200,"Linthicum Heights, MD",19547
24510130804,"Hampden, Baltimore, MD",19545
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",19525
24510060300,"Butchers Hill, Baltimore, MD",19512
24510030100,"Perkins Homes, Baltimore, MD",19493
24510200702,"Saint Joseph's, Baltimore, MD",19491
24510250206,"Morrell Park, Baltimore, MD",19453
24510080102,"Belair - Edison, Baltimore, MD",19427
24510150200,"Sandtown-Winchester, Baltimore, MD",19425
24510150300,"Coppin Heights, Baltimore, MD",19406
24510180300,"Hollins Market, Baltimore, MD",19397
24510271802,"Langston Hughes, Baltimore, MD",19393
24510110200,"Downtown, Baltimore, MD",19311
24005421200,"Dundalk, MD",19304
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",19283
24510260301,"Belair - Edison, Baltimore, MD",19280
24510230200,"South Baltimore, Baltimore, MD",19247
24510250205,"Lakeland, Baltimore, MD",19220
24510080400,"Broadway East, Baltimore, MD",19184
24510160700,"Rosemont, Baltimore, MD",19174
24510160200,"Sandtown-Winchester, Baltimore, MD",19169
24510070400,"Gay Street, Baltimore, MD",19091
24510130300,"Penn North, Baltimore, MD",19076
24005490400,"Towson, MD",18921
24510271001,"Baltimore, MD",18920
24510130600,"Hampden, Baltimore, MD",18815
24510170200,"McCulloh Homes, Baltimore, MD",18800
24510120700,"Remington, Baltimore, MD",18776
24510260900,"Baltimore, MD",18749
24510250203,"Cherry Hill, Baltimore, MD",18738
24510261000,"Patterson Park, Baltimore, MD",18677
24510120500,"Greenmount West, Baltimore, MD",18643
24510160100,"Harlem Park, Baltimore, MD",18590
24510150400,"Mondawmin, Baltimore, MD",18503
24005452000,"Sparrows Point, MD",18429
24510120600,"Old Goucher, Baltimore, MD",18421
24510080700,"Broadway East, Baltimore, MD",18388
24510210200,"Pigtown, Baltimore, MD",18384
24510090900,"Oliver, Baltimore, MD",18383
24510140200,"Upton, Baltimore, MD",18352
24510060400,"Baltimore, MD",18352
24005403202,"Gwynn Oak, Baltimore, MD",18257
24510070200,"Madison - Eastend, Baltimore, MD",18210
24510260404,"Baltimore Highlands, Baltimore, MD",18207
24510150600,"NW Community Action, Baltimore, MD",18168
24510080200,"Broadway East, Baltimore, MD",18140
24510280500,"Pleasant View Gardens, Baltimore, MD",18101
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",18071
24510080301,"Berea, Baltimore, MD",18060
24510260401,"Armistead Gardens, Baltimore, MD",18032
24510090800,"East Baltimore Midway, Baltimore, MD",18003
24510200200,"Lexington, Baltimore, MD",17988
24510250600,"Brooklyn, Baltimore, MD",17964
24510250401,"Brooklyn, Baltimore, MD",17957
24510260303,"Claremont - Freedom, Baltimore, MD",17938
24510260604,"O'Donnell Heights, Baltimore, MD",17935
24510250204,"Cherry Hill, Baltimore, MD",17726
24510200600,"Baltimore, MD",17688
24510190100,"Franklin Square, Baltimore, MD",17629
24510100200,"Baltimore, MD",17543
24510150100,"Sandtown-Winchester, Baltimore, MD",17542
24005420303,"Dundalk, MD",17329
24510110100,"Downtown, Baltimore, MD",17200
24510250402,"Brooklyn, Baltimore, MD",17196
24510230100,"Baltimore, MD",17166
24510170300,"Upton, Baltimore, MD",17157
24510200400,"Shipley Hill, Baltimore, MD",16963
24510240400,"Riverside Park, Baltimore, MD",16927
24510250301,"Westport, Baltimore, MD",16918
24510100100,"Johnson Square, Baltimore, MD",16844
24510140300,"Druid Heights, Baltimore, MD",16774
24005402202,"Baltimore County, MD",16709
24510190300,"Mount Clare, Baltimore, MD",16682
24510240300,"Riverside, Baltimore, MD",16655
24510070300,"Milton - Montford, Baltimore, MD",16478
24510190200,"Pratt Monroe, Baltimore, MD",16269
24510060100,"Patterson Park, Baltimore, MD",16028
24510080800,"Broadway East, Baltimore, MD",16012
24510040200,"Downtown, Baltimore, MD",15913
24510250500,"Curtis Bay, Baltimore, MD",15839
24510180100,"Poppleton, Baltimore, MD",15769
24510230300,"South Baltimore, Baltimore, MD",15680
24510130100,"Reservoir Hill, Baltimore, MD",15673
24510200300,"Bentalou-Smallwood, Baltimore, MD",15618
24510210100,"Pigtown, Baltimore, MD",15564
24510200500,"Mill Hill, Baltimore, MD",14542
24005492500,"Baltimore, MD",
24005490605,"Towson, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24510271503,"Cross Keys, Baltimore, MD",
24003980000,"Linthicum Heights, MD",
